num,latitude,longitude
299,126.9549582,37.57657715
300,126.9549655,37.56537257
301,126.9551017,37.56551782
302,126.9550832,37.56493658
303,126.9551252,37.56406241
304,126.9551344,37.55997305
305,126.9551436,37.56441721
306,126.955174,37.558069
307,126.9551822,37.56301381
308,126.9551831,37.56325627
309,126.955164,37.59724324
310,126.9551901,37.56561222
311,126.9551903,37.56569245
312,126.9551844,37.5968796
313,126.9551976,37.56230491
314,126.9551998,37.59711969
315,126.9552443,37.56312062
316,126.9552363,37.56010188
317,126.9552752,37.56532326
318,126.9553292,37.5658011
319,126.9552603,37.59670552
320,126.9553754,37.56334192
321,126.9553404,37.56385245
322,126.955365,37.59722227
323,126.9553917,37.56480966
324,126.9553989,37.56437647
325,126.9554291,37.56314973
326,126.9555088,37.56244403
327,126.9554955,37.55965014
328,126.9554921,37.59676398
329,126.9554955,37.59728713
330,126.9555174,37.56258787
331,126.9555166,37.56301531
332,126.9555177,37.56530347
333,126.9555271,37.56571438
334,126.9555202,37.56467637
335,126.9555308,37.56351369
336,126.9555432,37.56474808
337,126.9555477,37.5639767
338,126.9555701,37.55808971
339,126.9555567,37.56401788
340,126.9555748,37.59914089
341,126.9556031,37.56186437
342,126.9556272,37.56318233
343,126.955603,37.59725875
344,126.9556357,37.56283455
345,126.9556532,37.56142327
346,126.9556287,37.56489472
347,126.9556626,37.56416177
348,126.9556568,37.56518411
349,126.9556586,37.56508682
350,126.9556734,37.56573563
351,126.9556714,37.56340282
352,126.955674,37.56222008
353,126.9556792,37.56434891
354,126.9556549,37.59694584
355,126.9557021,37.56310107
356,126.9557023,37.59905256
357,126.9557336,37.56453716
358,126.9557247,37.5653147
359,126.9557369,37.56167518
360,126.9557368,37.56175219
361,126.9557157,37.59837701
362,126.955761,37.56543841
363,126.9557548,37.5625275
364,126.9557377,37.5619978
365,126.9557547,37.59708285
366,126.9557447,37.59800617
367,126.9557822,37.56183008
368,126.9557932,37.56137219
369,126.955797,37.55960555
370,126.9557986,37.56373583
371,126.9557991,37.56474083
372,126.955795,37.59752537
373,126.9558361,37.56523688
374,126.9558419,37.56560041
375,126.9558678,37.5629018
376,126.9558442,37.56228886
377,126.9558588,37.59732192
378,126.9558799,37.56315957
379,126.9558799,37.56396212
380,126.9558911,37.56341543
381,126.9558951,37.5984373
382,126.9558944,37.56206217
383,126.9558977,37.59874012
384,126.9559228,37.56147907
385,126.9559294,37.56195645
386,126.9559094,37.59812989
387,126.9559331,37.59829296
388,126.9559095,37.59855605
389,126.955961,37.56430734
390,126.9559707,37.56260339
391,126.9559665,37.56158269
392,126.9560097,37.56390481
393,126.9560214,37.59836365
394,126.9560171,37.56184331
395,126.9560227,37.59815398
396,126.9560472,37.56409505
397,126.9560477,37.56354867
398,126.9560539,37.56072374
399,126.9560505,37.59831922
400,126.9560633,37.5637605
401,126.9560755,37.56141521
402,126.9560757,37.56321283
403,126.9560558,37.59859728
404,126.9561409,37.5989886
405,126.9560612,37.5984235
406,126.9561439,37.56218388
407,126.9561614,37.56480641
408,126.9561786,37.56540213
409,126.9561808,37.56205051
410,126.9561822,37.56288899
411,126.9561835,37.56189591
412,126.956183,37.56518688
413,126.9561882,37.56562524
414,126.9561916,37.56130695
415,126.9561946,37.56236578
416,126.9561962,37.56466504
417,126.9562131,37.55953552
418,126.9562011,37.56387613
419,126.9562343,37.56361416
420,126.9562514,37.56305258
421,126.9562382,37.55801187
422,126.9562532,37.56151716
423,126.9562628,37.56430547
424,126.9562629,37.56080379
425,126.9562719,37.56045589
426,126.9562807,37.56335766
427,126.9562819,37.56260982
428,126.9563117,37.55871359
429,126.9563114,37.56215228
430,126.9563147,37.55812447
431,126.9563406,37.55827082
432,126.956344,37.56275777
433,126.9563489,37.56100247
434,126.9563594,37.56135964
435,126.9563651,37.56419697
436,126.956361,37.55882659
437,126.9563607,37.56059869
438,126.956369,37.56589389
439,126.956388,37.55854939
440,126.9563769,37.56381655
441,126.9564074,37.5620861
442,126.9564213,37.56394665
443,126.9564283,37.56427194
444,126.9564474,37.55906359
445,126.9564603,37.56199508
446,126.9564587,37.56320502
447,126.9564696,37.55805527
448,126.95647,37.56010346
449,126.9564858,37.56281531
450,126.9564957,37.56022097
451,126.9565156,37.56075402
452,126.9565054,37.56269157
453,126.9565195,37.55814505
454,126.95652,37.56036814
455,126.9565192,37.5609294
456,126.9565205,37.56407894
457,126.9565249,37.56557458
458,126.9565241,37.55940114
459,126.9565277,37.56249192
460,126.9565337,37.56330242
461,126.9565427,37.55885964
462,126.9565353,37.5598979
463,126.9565486,37.56367206
464,126.9565534,37.56052239
465,126.9565538,37.56212372
466,126.9565746,37.56081526
467,126.9565672,37.56474959
468,126.9565959,37.56423819
469,126.956595,37.56314089
470,126.9565972,37.56062976
471,126.9565998,37.5626107
472,126.9566472,37.56523434
473,126.9566104,37.55848651
474,126.9566817,37.56390339
475,126.9566974,37.56222246
476,126.9566927,37.55978938
477,126.9566906,37.56504049
478,126.9567154,37.56257616
479,126.9566974,37.56516854
480,126.9567085,37.55936207
481,126.9567343,37.56358541
482,126.9567237,37.55861982
483,126.9567278,37.56118661
484,126.9567593,37.56240241
485,126.9567481,37.55875106
486,126.9567531,37.55922268
487,126.9567986,37.55823932
488,126.9567782,37.55838498
489,126.9565473,37.56452555
490,126.9567877,37.55803479
491,126.9568345,37.56247399
492,126.9568343,37.56054785
493,126.9568577,37.56478394
494,126.9568823,37.56096512
495,126.9568624,37.55970615
496,126.9568981,37.56008939
497,126.9569098,37.56066406
498,126.9569143,37.56212916
499,126.9569326,37.56232485
500,126.9569208,37.56487731
501,126.9569353,37.55856602
502,126.9569352,37.56036865
503,126.956936,37.5649529
504,126.9569379,37.56471011
505,126.9569575,37.55923865
506,126.9569474,37.56293254
507,126.9569625,37.56346182
508,126.9569697,37.56509878
509,126.9569845,37.56375895
510,126.956989,37.55844833
511,126.9569886,37.56358229
512,126.9569906,37.56326739
513,126.9569934,37.56019931
514,126.9570221,37.55939469
515,126.9570295,37.55888767
516,126.9570272,37.56531837
517,126.9570305,37.55977531
518,126.9570293,37.56396071
519,126.9570286,37.56547856
520,126.9570544,37.56418536
521,126.9570662,37.56253781
522,126.9570694,37.56413131
523,126.9570824,37.5624487
524,126.9571014,37.56302678
525,126.9571145,37.56494122
526,126.9571246,37.55993414
527,126.9571521,37.56333899
528,126.9571541,37.5609335
529,126.9571628,37.56261563
530,126.9571686,37.55900527
531,126.9571691,37.55860134
532,126.9571764,37.56067138
533,126.9571694,37.55810522
534,126.9571876,37.56435218
535,126.9571994,37.56285112
536,126.9572041,37.56257793
537,126.9572215,37.55834159
538,126.9572255,37.56004235
539,126.9572273,37.55850886
540,126.9572316,37.55822257
541,126.9572288,37.56215104
542,126.9572268,37.56037406
543,126.9572315,37.5601
544,126.9572628,37.56128681
545,126.957266,37.55936488
546,126.957269,37.55781473
547,126.9574497,37.56515099
548,126.957362,37.5622531
549,126.9574501,37.56107117
550,126.9574915,37.55850475
551,126.9574661,37.56303745
552,126.9575037,37.56230551
553,126.9575075,37.56380295
554,126.9574698,37.55947739
555,126.9575532,37.56011019
556,126.9574666,37.56527795
557,126.9575557,37.5640802
558,126.9575877,37.56222613
559,126.957495,37.56133634
560,126.9576167,37.56236998
561,126.9576269,37.55880062
562,126.9575073,37.56401602
563,126.9576313,37.5650419
564,126.9576431,37.55955108
565,126.9575793,37.55825874
566,126.9576635,37.56311142
567,126.9576774,37.5591951
568,126.9576086,37.56254924
569,126.9576857,37.56455771
570,126.9576296,37.55942952
571,126.957661,37.56299142
572,126.9576782,37.55817282
573,126.9577042,37.56262818
574,126.9577228,37.56137718
575,126.9577286,37.56405371
576,126.9577127,37.56206324
577,126.9577207,37.56545472
578,126.9577469,37.56411626
579,126.95775,37.56339619
580,126.9577299,37.55824866
581,126.9577596,37.56354503
582,126.9577769,37.56229048
583,126.9577342,37.55888944
584,126.9577971,37.56053117
585,126.9578063,37.56244667
586,126.9577329,37.56367248
587,126.9578134,37.55784713
588,126.9577552,37.55846139
589,126.9578136,37.56117233
590,126.9578249,37.56285265
591,126.9577961,37.55931685
592,126.9578241,37.5656073
593,126.9578283,37.56269513
594,126.9578116,37.56103966
595,126.9579155,37.56194229
596,126.9579195,37.56176242
597,126.9578255,37.55795503
598,126.9579296,37.56241401
599,126.9579363,37.55844407
600,126.9578278,37.56306026
601,126.9579524,37.56577972
602,126.9579665,37.56368886
603,126.957898,37.56428206
604,126.9579722,37.56066689
605,126.9579812,37.56227671
606,126.9579205,37.56460506
607,126.9579819,37.56432016
608,126.9579368,37.56360887
609,126.9580104,37.56296544
610,126.957969,37.56215703
611,126.9580203,37.56171504
612,126.9579834,37.55902135
613,126.9580299,37.5579712
614,126.9580479,37.56002009
615,126.9580186,37.56378588
616,126.9580874,37.56454097
617,126.9580959,37.5615103
618,126.9580227,37.55830989
619,126.958097,37.56267114
620,126.9581066,37.55979972
621,126.9580411,37.56497045
622,126.9581114,37.56221461
623,126.9581278,37.55925766
624,126.9580747,37.56573753
625,126.95813,37.56435191
626,126.9581309,37.56210642
627,126.9580941,37.56516313
628,126.9581432,37.56384294
629,126.958111,37.56279573
630,126.958146,37.56034995
631,126.9581452,37.56482916
632,126.9581564,37.56214409
633,126.9581283,37.55881302
634,126.9581637,37.55870424
635,126.9581316,37.56248191
636,126.9581674,37.5590783
637,126.9581752,37.56201696
638,126.9581443,37.56330269
639,126.9581859,37.56412718
640,126.9581933,37.56045937
641,126.9581486,37.56311831
642,126.9582008,37.5612662
643,126.9581705,37.55944816
644,126.9582058,37.5623689
645,126.9582085,37.56369783
646,126.9581818,37.56290455
647,126.9582187,37.56022627
648,126.9582231,37.56254097
649,126.9582386,37.55851292
650,126.9581927,37.56357786
651,126.9582361,37.56503794
652,126.9582085,37.5581036
653,126.9582459,37.55954618
654,126.9582532,37.56492375
655,126.9582746,37.5589014
656,126.9582075,37.56556472
657,126.9582756,37.56061022
658,126.9582366,37.55836889
659,126.9582771,37.56106733
660,126.9582912,37.55998691
661,126.9582482,37.56180024
662,126.958296,37.56206322
663,126.9582948,37.56452018
664,126.95826,37.56402903
665,126.9583059,37.5622529
666,126.9583083,37.55964744
667,126.9582912,37.55832792
668,126.9583446,37.55933516
669,126.9583733,37.56329725
670,126.9583928,37.55867665
671,126.9582931,37.55913531
672,126.9583058,37.56234754
673,126.9583922,37.55989807
674,126.9583426,37.56274835
675,126.9583956,37.56306982
676,126.958377,37.55952252
677,126.9584079,37.55854249
678,126.9584211,37.56081335
679,126.9583964,37.56384451
680,126.9584032,37.56540462
681,126.9584154,37.56214743
682,126.9584262,37.56400945
683,126.9584283,37.55841468
684,126.9584223,37.56009051
685,126.9584496,37.56356685
686,126.9584583,37.55907839
687,126.9584267,37.56457606
688,126.9529639,37.58659414
689,126.9529637,37.58673903
690,126.9584283,37.56258375
691,126.9530145,37.58165296
692,126.9530251,37.56416701
693,126.9584349,37.5642732
694,126.9530267,37.59053602
695,126.9530325,37.56582533
696,126.9529652,37.56715911
697,126.9541697,37.56462687
698,126.9529925,37.5672879
699,126.9541634,37.58098995
700,126.9541725,37.57713768
701,126.9530117,37.58671189
702,126.9542035,37.57701949
703,126.9542163,37.56607794
704,126.95306,37.55797036
705,126.9542269,37.56436551
706,126.954228,37.5663313
707,126.9543966,37.58102656
708,126.9541727,37.56583056
709,126.9544059,37.56272088
710,126.9541848,37.55802879
711,126.9544347,37.55806373
712,126.954423,37.59100319
713,126.9542182,37.5640807
714,126.9544426,37.59664766
715,126.954463,37.57644053
716,126.9543935,37.56454804
717,126.9549723,37.56244912
718,126.9549733,37.56516292
719,126.9544223,37.58084698
720,126.9549766,37.59742388
721,126.9550021,37.55981729
722,126.9544609,37.56621153
723,126.9550582,37.56366926
724,126.9550662,37.56315634
725,126.9544707,37.56502131
726,126.955086,37.55971071
727,126.9549801,37.59095019
728,126.9572696,37.56308005
729,126.9572756,37.56542668
730,126.9549939,37.59665767
731,126.9572905,37.5595392
732,126.9573006,37.55911226
733,126.9550742,37.5658676
734,126.957309,37.56240441
735,126.9573389,37.56263335
736,126.957276,37.56467314
737,126.9573805,37.55861402
738,126.9573682,37.55787273
739,126.9572784,37.56499483
740,126.9573729,37.56362627
741,126.9573218,37.5641585
742,126.9573833,37.55816111
743,126.9573993,37.56341629
744,126.9573399,37.56325037
745,126.9574159,37.56074728
746,126.9574157,37.56502818
747,126.9574311,37.55982409
748,126.9573737,37.56249264
749,126.9574507,37.55777112
750,126.9573807,37.56139925
751,126.9575139,37.55934653
752,126.9575161,37.56464169
753,126.9574143,37.56344378
754,126.9575336,37.55869396
755,126.9575421,37.5604372
756,126.9578536,37.55922914
757,126.9574239,37.55971809
758,126.9578537,37.56251823
759,126.95751,37.56259073
760,126.9578615,37.56328826
761,126.9578685,37.56019697
762,126.9575162,37.5654122
763,126.9578731,37.55949423
764,126.9578818,37.56499125
765,126.9575442,37.55791145
766,126.9578904,37.55776503
767,126.9578677,37.55964366
768,126.9578678,37.5622086
769,126.957887,37.56086406
